#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0084 2.23021 0.0912488 0.051923 16.2833 -15.2476
0.0168 4.61109 0.377349 0.113322 33.6697 -31.5255
0.0252 6.64601 0.815744 0.176327 48.1687 -45.0834
0.0336 8.67172 1.41907 0.254214 62.3078 -58.2881
0.042 10.6954 2.18762 0.352115 76.0737 -71.1233
0.0504 12.7932 3.13996 0.478306 90.0668 -84.1495
0.0588 15.0493 4.30942 0.64318 104.958 -97.9936
0.0672 17.2466 5.64454 0.84415 119.122 -111.132
0.0756 19.2944 7.10486 1.08075 131.95 -122.994
0.084 20.8381 8.52694 1.33191 140.928 -131.236
0.0924 21.3637 9.61721 1.55146 142.524 -132.572
0.1008 20.7519 10.1919 1.7043 136.224 -126.547
0.1092 19.2397 10.2375 1.77879 124.044 -115.065
0.1176 17.2568 9.89003 1.78855 109.215 -101.151
0.126 14.9975 9.21077 1.73536 93.16 -86.1371
0.1344 12.6305 8.2762 1.62523 77.0315 -71.0988
0.1428 10.1984 7.10235 1.45366 61.0754 -56.2659
0.1512 7.69077 5.67306 1.20964 45.1947 -41.5514
0.1596 5.33638 4.15686 0.922981 30.788 -28.2455
0.168 3.32562 2.72842 0.630582 18.865 -17.2685
0.1764 1.56829 1.35184 0.32493 8.74146 -7.98234
0.1848 0.318076 0.287451 0.0718118 1.74421 -1.58868
0.1932 0 0 0 0 0
0.2016 0 0 0 0 0
0.21 0 0 0 0 0
0.2184 0 0 0 0 0
0.2268 0 0 0 0 0
0.2352 0 0 0 0 0
0.2436 0 0 0 0 0
0.252 0 0 0 0 0
0.2604 0 0 0 0 0
0.2688 0 0 0 0 0
0.2772 0 0 0 0 0
0.2856 0 0 0 0 0
0.294 0 0 0 0 0
0.3024 0 0 0 0 0
0.3108 0 0 0 0 0
0.3192 0 0 0 0 0
0.3276 0 0 0 0 0
0.336 0 0 0 0 0
0.3444 0 0 0 0 0
0.3528 0 0 0 0 0
0.3612 0 0 0 0 0
0.3696 0 0 0 0 0
0.378 0 0 0 0 0
0.3864 0 0 0 0 0
0.3948 0 0 0 0 0
0.4032 0 0 0 0 0
0.4116 0 0 0 0 0
0.42 -nan -nan -nan -nan -nan
