#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.02 0 0 0 0 0
0.04 0 0 0 0 0
0.06 0 0 0 0 0
0.08 0 0 0 0 0
0.1 0 0 0 0 0
0.12 0 0 0 0 0
0.14 0 0 0 0 0
0.16 0 0 0 0 0
0.18 0 0 0 0 0
0.2 0 0 0 0 0
0.22 0.00464176 0.00204714 0.000236029 0.148854 -0.148371
0.24 0.0262145 0.0126105 0.00157062 0.771182 -0.768688
0.26 0.0623556 0.0324922 0.00435341 1.70012 -1.69467
0.28 0.115702 0.0649221 0.0093197 2.95207 -2.94275
0.3 0.190956 0.114797 0.0175914 4.62548 -4.61128
0.32 0.283212 0.181602 0.0295976 6.52574 -6.50634
0.34 0.394115 0.268504 0.0463906 8.67892 -8.65417
0.36 0.526983 0.380145 0.0694217 11.1778 -11.1476
0.38 0.674991 0.513969 0.098938 13.8475 -13.8126
0.4 0.829802 0.665121 0.134623 16.5188 -16.4803
0.42 0.97192 0.818014 0.173689 18.7945 -18.7547
0.44 1.04847 0.924484 0.205471 19.5612 -19.5237
0.46 1.03159 0.950971 0.220793 18.4309 -18.3989
0.48 0.946061 0.910064 0.220338 16.1781 -16.153
0.5 0.813812 0.815499 0.205561 13.3643 -13.3463
0.52 0.650063 0.677509 0.17754 10.304 -10.2924
0.54 0.46553 0.503888 0.137083 7.15582 -7.14946
0.56 0.279281 0.313524 0.0884383 4.18807 -4.18542
0.58 0.1172 0.13629 0.039816 1.73072 -1.7301
0.6 0.00671871 0.00808421 0.00244339 0.0986079 -0.0986016
0.62 0 0 0 0 0
0.64 0 0 0 0 0
0.66 0 0 0 0 0
0.68 0 0 0 0 0
0.7 0 0 0 0 0
0.72 0 0 0 0 0
0.74 0 0 0 0 0
0.76 0 0 0 0 0
0.78 0 0 0 0 0
0.8 0 0 0 0 0
0.82 0 0 0 0 0
0.84 0 0 0 0 0
0.86 0 0 0 0 0
0.88 0 0 0 0 0
0.9 0 0 0 0 0
0.92 0 0 0 0 0
0.94 0 0 0 0 0
0.96 0 0 0 0 0
0.98 0 0 0 0 0
1 -nan -nan -nan -nan -nan
