#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0054 10.787 5.27065
0.0108 20.772 10.1314
0.0162 31.0769 15.08
0.0216 40.1803 19.3754
0.027 48.5374 23.2097
0.0324 55.2846 26.1714
0.0378 58.5661 27.4193
0.0432 57.8096 26.7437
0.0486 54.228 24.7566
0.054 49.3006 22.1681
0.0594 43.7051 19.3129
0.0648 37.6257 16.3022
0.0702 31.1895 13.2196
0.0756 25.3103 10.4612
0.081 19.282 7.75305
0.0864 13.49 5.26201
0.0918 8.75977 3.30137
0.0972 4.46988 1.62308
0.1026 1.29886 0.45253
0.108 0 0
0.1134 0 0
0.1188 0 0
0.1242 0 0
0.1296 0 0
0.135 0 0
0.1404 0 0
0.1458 0 0
0.1512 0 0
0.1566 0 0
0.162 0 0
0.1674 0 0
0.1728 0 0
0.1782 0 0
0.1836 0 0
0.189 0 0
0.1944 0 0
0.1998 0 0
0.2052 0 0
0.2106 0 0
0.216 0 0
0.2214 0 0
0.2268 0 0
0.2322 0 0
0.2376 0 0
0.243 0 0
0.2484 0 0
0.2538 0 0
0.2592 0 0
0.2646 0 0
0.27 -nan -nan
