#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.02 0 0
0.04 0 0
0.06 0 0
0.08 0 0
0.1 0 0
0.12 0 0
0.14 0 0
0.16 0 0
0.18 0 0
0.2 0 0
0.22 0.00783088 0.0438481
0.24 0.0418478 0.22694
0.26 0.095145 0.499694
0.28 0.170326 0.866399
0.3 0.274695 1.35512
0.32 0.399324 1.90805
0.34 0.547456 2.53192
0.36 0.726576 3.25256
0.38 0.928081 4.01789
0.4 1.14246 4.77771
0.42 1.34331 5.41695
0.44 1.44978 5.6169
0.46 1.4217 5.27129
0.48 1.30156 4.60686
0.5 1.12289 3.78725
0.52 0.905147 2.90429
0.54 0.658114 2.00485
0.56 0.403815 1.16549
0.58 0.175131 0.477992
0.6 0.0104884 0.0270013
0.62 0 0
0.64 0 0
0.66 0 0
0.68 0 0
0.7 0 0
0.72 0 0
0.74 0 0
0.76 0 0
0.78 0 0
0.8 0 0
0.82 0 0
0.84 0 0
0.86 0 0
0.88 0 0
0.9 0 0
0.92 0 0
0.94 0 0
0.96 0 0
0.98 0 0
1 -nan -nan
