#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0126 0 0 0 0 0
0.0252 0 0 0 0 0
0.0378 0 0 0 0 0
0.0504 0 0 0 0 0
0.063 0.152368 0.0307185 0.00276067 2.19771 -2.18398
0.0756 0.829533 0.200636 0.0184866 11.4845 -11.4079
0.0882 1.50533 0.424677 0.0410982 20.0573 -19.9147
0.1008 2.16979 0.699453 0.0719547 27.8908 -27.6803
0.1134 2.81256 1.01984 0.112116 34.9537 -34.6744
0.126 3.42276 1.37885 0.162243 41.208 -40.8602
0.1386 3.98886 1.76745 0.22248 46.6084 -46.1938
0.1512 4.49852 2.17437 0.292334 51.1018 -50.6237
0.1638 4.93843 2.58585 0.370521 54.6264 -54.0897
0.1764 5.29416 2.98537 0.454804 57.1107 -56.5224
0.189 5.55002 3.35329 0.5418 58.4728 -57.842
0.2016 5.68885 3.66654 0.626762 58.6188 -57.9571
0.2142 5.69193 3.89815 0.703331 57.4416 -56.7637
0.2268 5.53875 4.01686 0.763257 54.8193 -54.1432
0.2394 5.20694 3.98663 0.79608 50.6134 -49.9611
0.252 4.67213 3.76615 0.788785 44.6664 -44.0647
0.2646 3.9079 3.30839 0.725419 36.7995 -36.281
0.2772 2.88582 2.56017 0.586692 26.8095 -26.4141
0.2898 1.57563 1.46185 0.349564 14.4656 -14.242
0.3024 0 0 0 0 0
0.315 0 0 0 0 0
0.3276 0 0 0 0 0
0.3402 0 0 0 0 0
0.3528 0 0 0 0 0
0.3654 0 0 0 0 0
0.378 0 0 0 0 0
0.3906 0 0 0 0 0
0.4032 0 0 0 0 0
0.4158 0 0 0 0 0
0.4284 0 0 0 0 0
0.441 0 0 0 0 0
0.4536 0 0 0 0 0
0.4662 0 0 0 0 0
0.4788 0 0 0 0 0
0.4914 0 0 0 0 0
0.504 0 0 0 0 0
0.5166 0 0 0 0 0
0.5292 0 0 0 0 0
0.5418 0 0 0 0 0
0.5544 0 0 0 0 0
0.567 0 0 0 0 0
0.5796 0 0 0 0 0
0.5922 0 0 0 0 0
0.6048 0 0 0 0 0
0.6174 0 0 0 0 0
0.63 -nan -nan -nan -nan -nan
