#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.02 0 0 0 0 0
0.04 0 0 0 0 0
0.06 0 0 0 0 0
0.08 0 0 0 0 0
0.1 0 0 0 0 0
0.12 0 0 0 0 0
0.14 0 0 0 0 0
0.16 0 0 0 0 0
0.18 0 0 0 0 0
0.2 0 0 0 0 0
0.22 0 0 0 0 0
0.24 0 0 0 0 0
0.26 0.0171338 0.00893103 0.00120225 0.53895 -0.53737
0.28 0.114342 0.0641748 0.0092403 3.26199 -3.25248
0.3 0.222503 0.133784 0.0205373 5.82602 -5.80924
0.32 0.338291 0.216943 0.0353934 8.2108 -8.18757
0.34 0.457977 0.312032 0.0539383 10.391 -10.3623
0.36 0.577331 0.41647 0.0760637 12.3354 -12.3025
0.38 0.691525 0.526546 0.101342 14.0057 -13.9699
0.4 0.795022 0.637205 0.128926 15.3551 -15.3181
0.42 0.881467 0.74182 0.157435 16.3269 -16.2902
0.44 0.943589 0.831935 0.184818 16.8523 -16.8177
0.46 0.973116 0.897005 0.208201 16.8478 -16.817
0.48 0.960739 0.924157 0.223723 16.2125 -16.1868
0.5 0.896145 0.898016 0.226376 14.8239 -14.8044
0.52 0.768202 0.800688 0.209869 12.5332 -12.5205
0.54 0.56537 0.612032 0.166574 9.15985 -9.15354
0.56 0.276498 0.310462 0.0876293 4.48352 -4.48196
0.58 0 0 0 0 0
0.6 0 0 0 0 0
0.62 0 0 0 0 0
0.64 0 0 0 0 0
0.66 0 0 0 0 0
0.68 0 0 0 0 0
0.7 0 0 0 0 0
0.72 0 0 0 0 0
0.74 0 0 0 0 0
0.76 0 0 0 0 0
0.78 0 0 0 0 0
0.8 0 0 0 0 0
0.82 0 0 0 0 0
0.84 0 0 0 0 0
0.86 0 0 0 0 0
0.88 0 0 0 0 0
0.9 0 0 0 0 0
0.92 0 0 0 0 0
0.94 0 0 0 0 0
0.96 0 0 0 0 0
0.98 0 0 0 0 0
1 -nan -nan -nan -nan -nan
