#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.007 10.1796 8.12408
0.014 20.3652 16.2083
0.021 28.0702 22.252
0.028 31.5123 24.8631
0.035 34.4654 27.0184
0.042 36.9131 28.7013
0.049 38.8343 29.8958
0.056 40.202 30.5868
0.063 40.9838 30.7601
0.07 41.1406 30.4024
0.077 40.6259 29.502
0.084 39.3853 28.0484
0.091 37.3548 26.0329
0.098 34.4598 23.4491
0.105 30.6136 20.2931
0.112 25.715 16.5641
0.119 19.6464 12.265
0.126 12.2704 7.40339
0.133 3.42692 1.99228
0.14 0 0
0.147 0 0
0.154 0 0
0.161 0 0
0.168 0 0
0.175 0 0
0.182 0 0
0.189 0 0
0.196 0 0
0.203 0 0
0.21 0 0
0.217 0 0
0.224 0 0
0.231 0 0
0.238 0 0
0.245 0 0
0.252 0 0
0.259 0 0
0.266 0 0
0.273 0 0
0.28 0 0
0.287 0 0
0.294 0 0
0.301 0 0
0.308 0 0
0.315 0 0
0.322 0 0
0.329 0 0
0.336 0 0
0.343 0 0
0.35 -nan -nan
