#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.02 0 0
0.04 0 0
0.06 0 0
0.08 0 0
0.1 0 0
0.12 0 0
0.14 0 0
0.16 0 0
0.18 0 0
0.2 0 0
0.22 0 0
0.24 0 0
0.26 0.0788656 0.424578
0.28 0.2745 1.42414
0.3 0.472584 2.36288
0.32 0.671004 3.23298
0.34 0.867052 4.02488
0.36 1.05726 4.72699
0.38 1.2372 5.32537
0.4 1.40118 5.80325
0.42 1.54195 6.14066
0.44 1.6502 6.31371
0.46 1.714 6.29403
0.48 1.718 6.04784
0.5 1.64241 5.53506
0.52 1.46161 4.70808
0.54 1.1423 3.51043
0.56 0.640948 1.87515
0.58 0 0
0.6 0 0
0.62 0 0
0.64 0 0
0.66 0 0
0.68 0 0
0.7 0 0
0.72 0 0
0.74 0 0
0.76 0 0
0.78 0 0
0.8 0 0
0.82 0 0
0.84 0 0
0.86 0 0
0.88 0 0
0.9 0 0
0.92 0 0
0.94 0 0
0.96 0 0
0.98 0 0
1 -nan -nan
