#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0084 3.01652 0.12344 0.0707092 22.1564 -20.7513
0.0168 6.24578 0.511201 0.15445 45.868 -42.9551
0.0252 8.87057 1.08892 0.236411 64.5815 -60.4541
0.0336 11.5307 1.88708 0.339016 83.1174 -77.764
0.042 14.2929 2.92369 0.471682 101.964 -95.3381
0.0504 17.138 4.20662 0.641961 120.975 -113.038
0.0588 20.1722 5.77674 0.863364 141.008 -131.662
0.0672 23.1458 7.57566 1.1342 160.2 -149.465
0.0756 25.9022 9.53855 1.45222 177.472 -165.437
0.084 27.9782 11.4492 1.78965 189.546 -176.522
0.0924 28.6848 12.9135 2.08452 191.693 -178.319
0.1008 27.8616 13.6844 2.28962 183.22 -170.216
0.1092 25.8246 13.7421 2.38905 166.82 -154.756
0.1176 23.1511 13.2689 2.40093 146.834 -136.003
0.126 20.0972 12.3436 2.32691 125.139 -115.717
0.1344 16.8829 11.0634 2.17381 103.245 -95.3033
0.1428 13.5589 9.44344 1.93394 81.4427 -75.0381
0.1512 10.112 7.45976 1.59153 59.6175 -54.8186
0.1596 6.94619 5.4115 1.20239 40.2439 -36.9266
0.168 4.16507 3.41757 0.790411 23.7347 -21.7299
0.1764 1.7559 1.51379 0.364129 9.83784 -8.98532
0.1848 0.141182 0.12761 0.0319038 0.778456 -0.709192
0.1932 0 0 0 0 0
0.2016 0 0 0 0 0
0.21 0 0 0 0 0
0.2184 0 0 0 0 0
0.2268 0 0 0 0 0
0.2352 0 0 0 0 0
0.2436 0 0 0 0 0
0.252 0 0 0 0 0
0.2604 0 0 0 0 0
0.2688 0 0 0 0 0
0.2772 0 0 0 0 0
0.2856 0 0 0 0 0
0.294 0 0 0 0 0
0.3024 0 0 0 0 0
0.3108 0 0 0 0 0
0.3192 0 0 0 0 0
0.3276 0 0 0 0 0
0.336 0 0 0 0 0
0.3444 0 0 0 0 0
0.3528 0 0 0 0 0
0.3612 0 0 0 0 0
0.3696 0 0 0 0 0
0.378 0 0 0 0 0
0.3864 0 0 0 0 0
0.3948 0 0 0 0 0
0.4032 0 0 0 0 0
0.4116 0 0 0 0 0
0.42 -nan -nan -nan -nan -nan
