#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.02 0 0 0 0 0
0.04 0 0 0 0 0
0.06 0 0 0 0 0
0.08 0 0 0 0 0
0.1 0 0 0 0 0
0.12 0 0 0 0 0
0.14 0 0 0 0 0
0.16 0 0 0 0 0
0.18 0 0 0 0 0
0.2 0 0 0 0 0
0.22 0.00136101 0.000600278 6.92911e-05 0.044727 -0.0445837
0.24 0.0276181 0.0132864 0.00165621 0.830995 -0.828343
0.26 0.0757977 0.0394983 0.00529529 2.1072 -2.10053
0.28 0.146309 0.0820986 0.0117898 3.78708 -3.77525
0.3 0.248306 0.149277 0.0228813 6.08838 -6.06987
0.32 0.373431 0.239458 0.0390349 8.69594 -8.67036
0.34 0.523448 0.356624 0.0616246 11.6311 -11.5983
0.36 0.701767 0.506234 0.0924577 14.9908 -14.9507
0.38 0.90194 0.686787 0.132216 18.619 -18.5724
0.4 1.11022 0.889897 0.180131 22.2191 -22.1677
0.42 1.30116 1.09513 0.232541 25.2805 -25.2273
0.44 1.40386 1.23787 0.275135 26.3117 -26.2617
0.46 1.38088 1.27297 0.295568 24.7911 -24.7485
0.48 1.26515 1.21703 0.294672 21.7529 -21.7196
0.5 1.08476 1.08703 0.274019 17.9227 -17.899
0.52 0.861488 0.897875 0.2353 13.7524 -13.7373
0.54 0.609041 0.659236 0.179357 9.4406 -9.43253
0.56 0.354104 0.397531 0.112144 5.36493 -5.36174
0.58 0.133838 0.155644 0.0454745 2.00257 -2.00196
0.6 0 0 0 0 0
0.62 0 0 0 0 0
0.64 0 0 0 0 0
0.66 0 0 0 0 0
0.68 0 0 0 0 0
0.7 0 0 0 0 0
0.72 0 0 0 0 0
0.74 0 0 0 0 0
0.76 0 0 0 0 0
0.78 0 0 0 0 0
0.8 0 0 0 0 0
0.82 0 0 0 0 0
0.84 0 0 0 0 0
0.86 0 0 0 0 0
0.88 0 0 0 0 0
0.9 0 0 0 0 0
0.92 0 0 0 0 0
0.94 0 0 0 0 0
0.96 0 0 0 0 0
0.98 0 0 0 0 0
1 -nan -nan -nan -nan -nan
