#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0074 6.08563 5.40406
0.0148 12.2551 10.8562
0.0222 17.8881 15.7846
0.0296 23.3737 20.5113
0.037 27.7706 24.1999
0.0444 32.2105 27.8264
0.0518 36.5822 31.2766
0.0592 40.5142 34.2215
0.0666 43.1811 35.9741
0.074 43.7029 35.8492
0.0814 41.9213 33.8015
0.0888 38.5712 30.5147
0.0962 34.3746 26.6308
0.1036 29.7446 22.5198
0.111 25.0094 18.4636
0.1184 20.1687 14.4863
0.1258 15.1405 10.5554
0.1332 10.5553 7.12369
0.1406 6.4906 4.2286
0.148 2.89532 1.81568
0.1554 0.406321 0.244454
0.1628 0 0
0.1702 0 0
0.1776 0 0
0.185 0 0
0.1924 0 0
0.1998 0 0
0.2072 0 0
0.2146 0 0
0.222 0 0
0.2294 0 0
0.2368 0 0
0.2442 0 0
0.2516 0 0
0.259 0 0
0.2664 0 0
0.2738 0 0
0.2812 0 0
0.2886 0 0
0.296 0 0
0.3034 0 0
0.3108 0 0
0.3182 0 0
0.3256 0 0
0.333 0 0
0.3404 0 0
0.3478 0 0
0.3552 0 0
0.3626 0 0
0.37 -nan -nan
