#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.02 0 0
0.04 0 0
0.06 0 0
0.08 0 0
0.1 0 0
0.12 0 0
0.14 0 0
0.16 0 0
0.18 0 0
0.2 0 0
0.22 0.00234177 0.0131727
0.24 0.0448844 0.244493
0.26 0.117433 0.619229
0.28 0.217801 1.1113
0.3 0.360563 1.78347
0.32 0.53081 2.54229
0.34 0.732113 3.39282
0.36 0.972784 4.36172
0.38 1.24601 5.40192
0.4 1.53475 6.42598
0.42 1.80485 7.28587
0.44 1.94798 7.5548
0.46 1.9101 7.08984
0.48 1.7478 6.19383
0.5 1.50373 5.07857
0.52 1.20607 3.87582
0.54 0.866573 2.64461
0.56 0.516101 1.49274
0.58 0.202066 0.55295
0.6 0 0
0.62 0 0
0.64 0 0
0.66 0 0
0.68 0 0
0.7 0 0
0.72 0 0
0.74 0 0
0.76 0 0
0.78 0 0
0.8 0 0
0.82 0 0
0.84 0 0
0.86 0 0
0.88 0 0
0.9 0 0
0.92 0 0
0.94 0 0
0.96 0 0
0.98 0 0
1 -nan -nan
